Method,Lifted Embedding,Shadow Embedding,Plain SQL
10,5.026,0.065,0.0050
35,17.264,0.225,0.018
60,23.647,0.625,0.03
85,33.59,0.422,0.042
110,39.913,0.475,0.053
135,49.279,0.262,0.067
160,61.414,0.305,0.078
185,69.435,0.349,0.09
210,79.888,0.397,0.104
235,86.359,0.445,0.114
260,98.342,0.494,0.125
