Method,Lifted Embedding,Shadow Embedding,Plain SQL
10,6.091,1.213,1.231
30,18.253,3.558,3.637
50,25.445,5.91,6.097
70,35.51,8.255,8.446
90,45.077,9.895,10.003
110,55.044,12.088,11.999
130,64.794,14.303,14.152
150,74.707,16.543,16.533
