Method,Lifted Embedding,Shadow Embedding,Plain SQL
10,6.24,1.381,1.371
30,15.968,4.168,4.146
50,25.805,6.962,6.905
70,36.0,9.702,8.841
90,46.118,11.326,11.07
110,56.628,13.835,13.518
130,66.949,16.327,15.92
150,77.352,18.81,18.359
