Method,Lifted Embedding,Shadow Embedding,Plain SQL
10,7.55,1.528,1.536
30,21.778,4.602,4.716
50,34.46,7.645,7.863
70,47.456,10.466,11.071
90,54.677,13.44,13.346
110,64.751,16.455,16.301
130,76.368,19.107,19.297
150,88.293,21.969,22.218
