Method,Lifted Embedding,Shadow Embedding,Plain SQL
10,6.148,1.226,1.296
30,18.0,3.604,3.666
50,30.058,6.018,6.168
70,36.038,8.473,8.622
90,45.979,10.505,9.976
110,55.901,12.274,12.163
130,65.719,14.442,14.34
150,75.167,16.631,16.886
